name,section,f_min,f_max,ap_wide,ap_tele,year,focus,is_zoom,is_AF,has_VR,has_ED,has_PF,has_PC,has_Micro,has_Fisheye,mount,system,focal_label,aperture_label
Canon FDn TS 35mm F/2.8 · Manual,Shift lenses,35.0,35.0,2.8,2.8,0,Manual,False,False,False,False,False,True,False,False,FD,Canon,35mm,f/2.8
Canon FD 135mm F/3.5 · Auto,Medium telephoto prime lenses,135.0,135.0,3.5,3.5,1970,Manual,False,False,False,False,False,False,False,False,FD,Canon,135mm,f/3.5
Canon FD 7.5mm F/5.6 Fisheye · Manual,Fisheye lenses,7.5,7.5,5.6,5.6,1971,Manual,False,False,False,False,False,False,False,True,FD,Canon,7.5mm,f/5.6
Canon FD 17mm F/4 · Auto,Ultra-wide angle prime lenses,17.0,17.0,4.0,4.0,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,17mm,f/4
Canon FD 24mm F/2.8 · Auto,Wide-angle prime lenses,24.0,24.0,2.8,2.8,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,24mm,f/2.8
Canon FD 28mm F/3.5 · Auto,Wide-angle prime lenses,28.0,28.0,3.5,3.5,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,28mm,f/3.5
Canon FD 35mm F/2 · Auto,Wide-angle prime lenses,35.0,35.0,2.0,2.0,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,35mm,f/2
Canon FD 35mm F/3.5 · Auto,Wide-angle prime lenses,35.0,35.0,3.5,3.5,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,35mm,f/3.5
Canon FD 50mm F/1.4 · Auto,Standard prime lenses,50.0,50.0,1.4,1.4,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,50mm,f/1.4
Canon FD 50mm F/1.8 · Auto,Standard prime lenses,50.0,50.0,1.8,1.8,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,50mm,f/1.8
Canon FD 55mm F/1.2 AL · Auto,Standard prime lenses,55.0,55.0,1.2,1.2,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,55mm,f/1.2
Canon FD 55mm F/1.2 · Auto,Standard prime lenses,55.0,55.0,1.2,1.2,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,55mm,f/1.2
Canon FD 100mm F/2.8 · Auto,Short telephoto prime lenses,100.0,100.0,2.8,2.8,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,100mm,f/2.8
Canon FD 100-200mm F/5.6 · Auto · Push/pull,Telephoto zoom lenses,100.0,200.0,5.6,5.6,1971,Manual,True,False,False,False,False,False,False,False,FD,Canon,100-200mm,f/5.6
Canon FD 135mm F/2.5 · Auto,Medium telephoto prime lenses,135.0,135.0,2.5,2.5,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,135mm,f/2.5
Canon FD 200mm F/4 · Auto,Medium telephoto prime lenses,200.0,200.0,4.0,4.0,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,200mm,f/4
Canon FD 300mm F/5.6 · Auto,Super telephoto prime lenses,300.0,300.0,5.6,5.6,1971,Manual,False,False,False,False,False,False,False,False,FD,Canon,300mm,f/5.6
Canon FD 7.5mm F/5.6 S.S.C. Fisheye · Manual,Fisheye lenses,7.5,7.5,5.6,5.6,1973,Manual,False,False,False,False,False,False,False,True,FD,Canon,7.5mm,f/5.6
Canon FD 15mm F/2.8 S.S.C. Fisheye · Auto,Fisheye lenses,15.0,15.0,2.8,2.8,1973,Manual,False,False,False,False,False,False,False,True,FD,Canon,15mm,f/2.8
Canon FD 17mm F/4 S.S.C. · Auto,Ultra-wide angle prime lenses,17.0,17.0,4.0,4.0,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,17mm,f/4
Canon FD 20mm F/2.8 S.S.C. · Auto,Ultra-wide angle prime lenses,20.0,20.0,2.8,2.8,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,20mm,f/2.8
Canon FD 24mm F/2.8 S.S.C. · Auto,Wide-angle prime lenses,24.0,24.0,2.8,2.8,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,24mm,f/2.8
Canon FD 28mm F/3.5 S.C. · Auto,Wide-angle prime lenses,28.0,28.0,3.5,3.5,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,28mm,f/3.5
Canon FD 35mm F/2 S.S.C. [I] · Auto,Wide-angle prime lenses,35.0,35.0,2.0,2.0,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,35mm,f/2
Canon FD TS 35mm F/2.8 S.S.C. · Manual,Shift lenses,35.0,35.0,2.8,2.8,1973,Manual,False,False,False,False,False,True,False,False,FD,Canon,35mm,f/2.8
Canon FD 35mm F/3.5 S.C. [I] · Auto,Wide-angle prime lenses,35.0,35.0,3.5,3.5,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,35mm,f/3.5
Canon FD 35-70mm F/2.8-3.5 S.S.C. · Auto,Standard zoom lenses,35.0,70.0,2.8,3.5,1973,Manual,True,False,False,False,False,False,False,False,FD,Canon,35-70mm,f/2.8–f/3.5
Canon FD 50mm F/1.4 S.S.C. [II] · Auto,Standard prime lenses,50.0,50.0,1.4,1.4,1973,Manual,False,False,False,False,False,False,False,False,FD,Canon,50mm,f/1.4
